50	339.618553725
100	423.426015605
150	486.516188606
200	518.978724065
250	516.198111208
300	479.651356321
350	416.652210884
400	339.086174101
450	261.354999537
500	197.88611947
550	160.63763027
600	157.03024965
650	188.663829302
700	251.0403497
750	334.341293925
800	425.124985661
850	508.650406349
900	571.425682533
950	603.540586948
1000	600.37974284
1050	563.42030308
1100	499.976178246
1150	421.933039091
1200	343.692823112
1250	279.683158831
1300	241.862351102
1350	237.651338276
1400	268.650204758
1450	330.361175716
1500	412.965990812
1550	503.023242102
1600	585.792191083
1650	647.781255934
1700	679.080512489
1750	675.074898441
1800	637.241892338
1850	572.895741532
1900	493.922464525
1950	414.724357401
2000	349.729417965
2050	310.896330916
2100	305.646424857
2150	335.580184705
2200	396.200246247
2250	477.688769713
2300	566.60477751
2350	648.207971105
2400	709.007218098
2450	739.093053022
2500	733.850881367
2550	694.758658395
2600	629.131116913
2650	548.854769423
2700	468.332414365
2750	401.99256007
2800	361.794409724
2850	355.159818191
2900	383.689804209
2950	442.887544748
3000	522.935748368
3050	610.393992747
3100	690.522541348
3150	749.830830275
3200	778.409968854
3250	771.645943433
3300	731.01729598
3350	663.839351622
3400	581.99922057
3450	499.900304134
3500	431.971718439
3550	390.173279157
3600	381.927458092
3650	408.835895145
3700	466.40239242
3750	544.810287356
3800	630.61979
3850	709.091799436
3900	766.736390396
3950	793.645313592
4000	785.205199273
4050	742.895235571
4100	674.031395791
4150	590.501440091
4200	506.709421239
4250	437.085108084
4300	393.588970033
4350	383.644133385
4400	408.852893044
4450	464.719706372
4500	541.428566069
4550	625.540337191
4600	702.316573332
4650	758.268002975
4700	783.487029577
4750	773.360934878
4800	729.369556985
4850	658.82951742
4900	573.629222549
4950	488.173369087
5000	416.892367322
